procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  0      0 5946348   5244 6792544    0    0     0 33768 19669 8927 33 58  7  2  0
12  0      0 5940360   5244 6797388    0    0     0     0 23561 29566 37 62  2  0  0
12  0      0 5936628   5244 6802248    0    0     0     0 21092 19371 36 61  3  0  0
20  0      0 5930816   5244 6807080    0    0     0     0 17929 5050 36 62  2  0  0
 9  0      0 5926656   5244 6811440    0    0     0     0 22194 21999 34 60  6  0  0
 7  0      0 5921064   5244 6815544    0    0     0     0 24803 29535 36 59  5  0  0
17  0      0 5908556   5244 6820332    0    0     0     0 22132 17018 35 63  2  0  0
 7  0      0 5904112   5244 6825224    0    0     0     0 19746 4534 35 63  2  0  0
16  0      0 5900424   5244 6829560    0    0     0     0 22142 24624 36 62  2  0  0
 8  0      0 5897580   5244 6834124    0    0     0     0 21103 18724 35 61  4  0  0
11  0      0 5894988   5244 6838780    0    0     0     0 20730 17491 37 60  3  0  0
 8  0      0 5885940   5244 6843084    0    0     0     0 21481 14722 36 60  4  0  0
15  0      0 5882300   5244 6847728    0    0     0     0 19621 10034 35 64  2  0  0
16  0      0 5878832   5244 6852480    0    0     0     0 18663 13128 36 62  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  0      0 5873936   5244 6857020    0    0     0     0 23525 35420 35 59  5  0  0
 4  0      0 5871712   5244 6861148    0    0     0    39 23629 26571 37 61  3  0  0
 7  0      0 5866544   5244 6865716    0    0     0     0 20094 5636 36 63  1  0  0
 2  0      0 5864108   5244 6870268    0    0     0     0 22363 15389 36 60  4  0  0
17  0      0 5858740   5244 6874780    0    0     0     0 22591 27853 36 60  4  0  0
12  0      0 5854744   5244 6879140    0    0     0     0 22734 24046 35 63  3  0  0
16  0      0 5847568   5244 6883952    0    0     0     0 20703 9508 36 62  1  0  0
12  0      0 5844572   5244 6888684    0    0     0     0 22115 19856 37 60  3  0  0
10  0      0 5844372   5244 6893236    0    0     0     0 22296 32498 37 59  4  0  0
15  0      0 5834816   5244 6897712    0    0     0     0 21154 16734 35 61  4  0  0
 8  0      0 5833792   5244 6902600    0    0     0     0 24528 39821 37 61  3  0  0
11  0      0 5827192   5244 6906552    0    0     0     8 24585 20998 35 60  5  0  0
10  0      0 5821412   5244 6911476    0    0     0     0 20450 11901 36 62  2  0  0
10  0      0 5820032   5244 6915812    0    0     0     0 18137 13188 35 61  3  0  0
 7  0      0 5817576   5244 6919972    0    0     0     0 23428 35522 36 59  4  0  0
12  0      0 5813024   5244 6923856    0    0     0     0 19145 12569 33 64  3  0  0
15  1      0 5805072   5244 6927932    0    0     0  6148 23591 27248 35 62  4  0  0
 9  1      0 5801064   5244 6931592    0    0     0 135680 21326 16990 33 62  3  1  0
11  0      0 5798644   5244 6936040    0    0     0     0 22708 20980 34 61  5  0  0
11  0      0 5793268   5244 6940876    0    0     0     0 21592 11443 37 61  2  0  0
11  0      0 5790312   5244 6945632    0    0     0     0 19049 8065 36 60  4  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0      0 5783384   5244 6950712    0    0     0     0 19732 6607 35 63  2  0  0
12  0      0 5780496   5244 6955268    0    0     0     0 22779 28380 37 60  3  0  0
11  0      0 5777708   5244 6959960    0    0     0     0 20619 14115 35 62  3  0  0
11  0      0 5764892   5244 6964380    0    0     0     0 21907 17354 36 62  2  0  0
 8  0      0 5761276   5244 6968972    0    0     0     0 20636 8086 35 63  3  0  0
 9  0      0 5758532   5244 6973688    0    0     0     0 22105 20944 35 61  4  0  0
 7  0      0 5755240   5244 6978248    0    0     0     0 20212 15361 36 61  3  0  0
15  0      0 5751548   5244 6983072    0    0     0     0 21985 24414 36 61  3  0  0
14  0      0 5746676   5244 6987356    0    0     0     0 23037 26044 37 60  3  0  0
14  0      0 5742120   5244 6992572    0    0     0     0 21520 14230 35 62  3  0  0
 8  0      0 5736472   5244 6997184    0    0     0     4 20304 15508 37 60  3  0  0
10  0      0 5734188   5244 7001908    0    0     0     0 21493 27635 37 61  2  0  0
 8  2      0 5732124   5244 7006268    0    0     0     8 21948 14806 36 61  1  3  0
12  2      0 5718300   5244 7010656    0    0     0     0 23830 31384 35 62  2  1  0
 9  0      0 5715076   5244 7015420    0    0     0     0 24813 33107 36 61  3  0  0
 7  0      0 5708728   5244 7019964    0    0     0     0 19192 10549 36 61  3  0  0
13  0      0 5708440   5244 7024336    0    0     0     0 22348 22074 36 60  4  0  0
 6  0      0 5705536   5244 7029068    0    0     0     0 24452 31462 36 59  5  0  0
 9  0      0 5697480   5244 7033684    0    0     0     0 19818 6312 36 62  2  0  0
 9  0      0 5695600   5244 7038428    0    0     0     0 21338 23252 36 60  4  0  0
10  0      0 5692492   5244 7042972    0    0     0     0 23433 24648 36 60  5  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
15  0      0 5690264   5244 7047900    0    0     0     0 21994 15619 36 61  3  0  0
11  0      0 5685616   5244 7052668    0    0     0     4 22640 26735 35 61  4  0  0
 7  0      0 5685212   5244 7057564    0    0     0     9 19997 9949 36 60  4  0  0
13  0      0 5677832   5244 7062680    0    0     0     0 20976 18468 37 59  3  0  0
 7  0      0 5675208   5244 7066988    0    0     0     0 23033 34932 36 59  5  0  0
13  0      0 5670656   5244 7071772    0    0     0     0 23379 16487 37 60  4  0  0
 8  1      0 5667860   5244 7076440    0    0     0 73728 23761 34064 35 60  3  2  0
14  0      0 5667360   5244 7079384    0    0     0 72944 25374 30954 34 58  3  5  0
15  0      0 5660104   5244 7085252    0    0     0     0 25241 24739 37 60  3  0  0
12  0      0 5659344   5244 7089868    0    0     0     0 24499 24736 37 59  4  0  0
10  0      0 5657840   5244 7094068    0    0     0     0 24595 26805 36 59  5  0  0
17  0      0 5652556   5244 7098496    0    0     0     0 24712 24195 36 59  5  0  0
11  0      0 5646748   5244 7102988    0    0     0     0 24443 20899 37 59  4  0  0
11  0      0 5639700   5244 7106544    0    0     0     0 23968 18586 33 62  5  0  0
 7  0      0 5637644   5244 7109644    0    0     0     0 25676 24555 29 64  7  0  0
 6  0      0 5636440   5244 7111932    0    0     0     0 25683 29719 24 62 14  0  0
 4  0      0 5642300   5244 7112200    0    0     0     0 14286 21909  7 13 79  0  0
 0  0      0 5645396   5244 7112400    0    0     0     0 3328 4872  2  3 95  0  0
 0  0      0 5648472   5244 7112400    0    0     0     0 3544 5336  1  2 96  0  0
 0  0      0 5651500   5244 7112400    0    0     0    21 3587 5367  2  3 95  0  0
 0  0      0 5652576   5244 7112384    0    0     0     0 1968 2846  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5655460   5244 7112384    0    0     0     0 3779 5432  2  3 95  0  0
 0  2      0 5657404   5244 7112384    0    0     0    12 3245 4807  2  3 94  1  0
 0  0      0 5657380   5244 7112384    0    0     0     0 1544 2282  1  1 64 34  0
 0  0      0 5657456   5244 7112384    0    0     0     0 2138 3077  2  2 96  0  0
 1  0      0 5659312   5244 7112384    0    0     0     0 1916 2730  2  2 96  0  0
 0  0      0 5659564   5244 7112384    0    0     0     0 1594 2336  2  1 97  0  0
 0  0      0 5660456   5244 7112384    0    0     0     0 2141 3103  2  2 96  0  0
 0  0      0 5660064   5244 7112384    0    0     0     0 1492 2135  1  1 98  0  0
