Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request asset_query,13419763,65,9,312,355,422,0,1717,0.000%,74137.83140,12597.64,0.00
TOTAL,13419763,65,9,312,355,422,0,1717,0.000%,74137.83140,12597.64,0.00
