Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request asset_query,13408072,65,9,310,351,426,0,3437,0.000%,74290.76745,12623.63,0.00
TOTAL,13408072,65,9,310,351,426,0,3437,0.000%,74290.76745,12623.63,0.00
