Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request asset_query,13569607,64,9,312,354,422,0,1790,0.00%,74737.7,12699.6,124.24
总体,13569607,64,9,312,354,422,0,1790,0.00%,74737.7,12699.6,124.24
