Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request asset_query,3973113,30,23,62,91,151,0,3152,0.000%,28386.47519,4823.48,0.00
TOTAL,3973113,30,23,62,91,151,0,3152,0.000%,28386.47519,4823.48,0.00
