Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request asset_query,334494,2,1,4,6,22,0,1038,0.000%,2787.91465,473.73,0.00
TOTAL,334494,2,1,4,6,22,0,1038,0.000%,2787.91465,473.73,0.00
