Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request account_add,1644912,534,544,574,588,1094,0,2762,0.00%,9073.6,1692.4,138.51
总体,1644912,534,544,574,588,1094,0,2762,0.00%,9073.6,1692.4,138.51
