Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request account_list,4265319,20,20,27,31,47,0,1087,0.00%,23686.5,86310.6,9.14
总体,4265319,20,20,27,31,47,0,1087,0.00%,23686.5,86310.6,9.14
