Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_add,1471514,595,606,710,732,780,2,1011,0.000%,8149.04610,1044.45,0.00
TOTAL,1471514,595,606,710,732,780,2,1011,0.000%,8149.04610,1044.45,0.00
