Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_add,1182779,741,766,895,915,1004,2,1080,0.000%,6547.64119,838.03,0.00
TOTAL,1182779,741,766,895,915,1004,2,1080,0.000%,6547.64119,838.03,0.00
