Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request account_add,1572934,559,576,678,692,710,2,853,0.00%,8658.4,1110.1,121.24
总体,1572934,559,576,678,692,710,2,853,0.00%,8658.4,1110.1,121.24
