Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_add,270858,224,194,277,312,523,3,9547,0.000%,1935.19762,246.79,0.00
TOTAL,270858,224,194,277,312,523,3,9547,0.000%,1935.19762,246.79,0.00
