procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0      0 6442292   5244 6218972    0    0     0     0 14636 2246 37 38 24  0  0
 0  0      0 6462936   5244 6218956    0    0     0     0 12365 3252 32 29 39  0  0
 1  0      0 6459040   5244 6218956    0    0     0     0 13548 3521 30 30 40  0  0
 4  0      0 6456608   5244 6218956    0    0     0     8 12912 4295 30 32 38  0  0
 5  0      0 6453356   5244 6218956    0    0     0    60 17067 3956 36 37 27  0  0
 5  0      0 6472556   5244 6218956    0    0     0     0 16419 3945 39 38 23  0  0
 5  0      0 6488988   5244 6218956    0    0     0     0 12776 3145 39 37 24  0  0
 5  0      0 6486216   5244 6218956    0    0     0    76 15338 3885 35 38 27  0  0
 6  0      0 6501172   5244 6218956    0    0     0     0 15652 3691 38 37 26  0  0
 2  0      0 6494516   5244 6218956    0    0     0     0 14706 3821 38 38 24  0  0
 1  0      0 6450340   5244 6218956    0    0     0     0 12964 4481 34 35 32  0  0
 7  0      0 6420392   5244 6218956    0    0     0     0 17165 3550 38 41 21  0  0
 8  0      0 6384168   5244 6218956    0    0     0     0 15315 2018 42 41 18  0  0
 5  0      0 6351684   5244 6218956    0    0     0     0 13777 3672 39 39 23  0  0
 3  0      0 6312884   5244 6218956    0    0     0     0 13755 2818 41 42 16  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 6274240   5244 6218956    0    0     0     0 13691 2809 42 44 13  0  0
 5  0      0 6265264   5244 6218956    0    0     0     0 15041 3128 39 40 21  0  0
 3  0      0 6220656   5244 6218956    0    0     0     0 12905 3149 39 41 20  0  0
 5  0      0 6162644   5244 6218956    0    0     0     0 15279 2880 43 43 14  0  0
 0  0      0 6162556   5244 6218956    0    0     0     0 6976 3377 15 16 69  0  0
 0  0      0 6162380   5244 6218960    0    0     0     0 1481 2161  2  2 97  0  0
 0  0      0 6162084   5244 6218960    0    0     0     0 1632 2310  2  2 96  0  0
 0  0      0 6163912   5244 6218960    0    0     0     0 1604 2208  2  2 96  0  0
 0  0      0 6164792   5244 6218960    0    0     0     0 1776 2396  2  2 97  0  0
 0  0      0 6164672   5244 6218960    0    0     0     8 1807 2517  2  2 96  0  0
 6  0      0 6164836   5244 6218960    0    0     0     0 21930 4715 15 21 52 13  0
 3  0      0 6153692   5244 6218960    0    0     0     0 17815 3418 38 40 22  0  0
 5  0      0 6147404   5244 6218960    0    0     0     0 15977 3464 42 41 17  0  0
 4  0      0 6146740   5244 6218960    0    0     0     0 16501 4372 42 41 17  0  0
 4  0      0 6150788   5244 6218960    0    0     0     0 15337 3201 43 41 16  0  0
 5  0      0 6145448   5244 6218960    0    0     0     0 14672 3686 40 37 23  0  0
 7  0      0 6144836   5244 6218960    0    0     0     0 15682 3806 41 41 18  0  0
 2  0      0 6149192   5244 6218960    0    0     0     0 13115 3575 33 35 32  0  0
 5  0      0 6144520   5244 6218960    0    0     0    45 16536 4264 39 40 21  0  0
 2  0      0 6144456   5244 6218960    0    0     0     0 17022 3067 44 46 10  0  0
 2  0      0 6149764   5244 6218960    0    0     0     0 11917 4181 30 30 40  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 6144776   5244 6218960    0    0     0     0 18743 2856 43 45 12  0  0
 5  0      0 6144796   5244 6218960    0    0     0     0 16115 2400 43 46 11  0  0
 8  0      0 6148708   5244 6218960    0    0     0     0 14815 3690 39 38 23  0  0
 5  0      0 6143136   5244 6218976    0    0     0     0 15644 3482 42 43 16  0  0
15  0      0 6143192   5244 6218976    0    0     0     0 13639 3343 32 34 34  0  0
 4  0      0 6142848   5244 6218976    0    0     0     0 6033 2367 12 13 75  0  0
 6  0      0 6160944   5244 6218976    0    0     0     0 15962 3479 33 36 31  0  0
 1  0      0 6160256   5244 6218976    0    0     0     0 13795 3924 25 29 46  0  0
 7  0      0 6161032   5244 6218976    0    0     0     0 12347 3450 26 28 46  0  0
 4  0      0 6161620   5244 6218976    0    0     0     0 19016 2940 41 44 16  0  0
 4  0      0 6201476   5244 6218976    0    0     0     0 13198 3078 33 33 34  0  0
 1  0      0 6200808   5244 6218976    0    0     0     0 15386 3287 38 38 23  0  0
 7  0      0 6199324   5244 6218976    0    0     0     0 16520 3209 43 45 11  0  0
