Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
JDBC Request,2752626,0,1,1,2,3,0,928,0.00%,22938.5,246.4,1.76
总体,2752626,0,1,1,2,3,0,928,0.00%,22938.5,246.4,1.76
