Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request account_list,51189,29862,30002,31684,32070,32933,187,38805,60.14%,154.7,19494.7,3761.95
总体,51189,29862,30002,31684,32070,32933,187,38805,60.14%,154.7,19494.7,3761.95
