Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
JDBC Request,2422066,4,5,9,13,18,0,55,0.000%,40355.65997,39922.15,0.00
总体,2422066,4,5,9,13,18,0,55,0.000%,40355.65997,39922.15,0.00
