Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
JDBC Request,1921533,5,6,12,17,23,0,114,0.000%,32013.81160,31669.91,0.00
总体,1921533,5,6,12,17,23,0,114,0.000%,32013.81160,31669.91,0.00
