Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
JDBC Request,11175459,2,2,3,4,6,0,4174,0.00%,93118.7,1000.3,15.80
总体,11175459,2,2,3,4,6,0,4174,0.00%,93118.7,1000.3,15.80
