Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_add,323644,185,127,207,280,2144,3,7309,0.000%,2311.21458,263.30,0.00
TOTAL,323644,185,127,207,280,2144,3,7309,0.000%,2311.21458,263.30,0.00
