Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_add,3500008,251,249,290,301,329,2,781,0.000%,19248.26354,2212.09,0.00
TOTAL,3500008,251,249,290,301,329,2,781,0.000%,19248.26354,2212.09,0.00
