procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2      0 6269168   5244 6218984    0    0     0    16 1127 1635  1  1 71 26  0
 0  0      0 6269308   5244 6218984    0    0     0     0 2757 4110  1  1 83 14  0
 0  0      0 6269280   5244 6218984    0    0     0     0 1451 2131  1  1 98  0  0
 0  0      0 6269280   5244 6218984    0    0     0     0 2025 2907  2  3 95  0  0
 3  0      0 6269188   5244 6218984    0    0     0     0 12860 2549  7 37 55  0  0
 2  0      0 6269676   5244 6218984    0    0     0    24 9591 2385  6 29 65  0  0
 0  0      0 6270824   5244 6218984    0    0     0     0 12391 2278  6 25 68  0  0
 3  0      0 6272012   5244 6218984    0    0     0     0 13142 1751  7 30 63  0  0
 0  0      0 6271284   5244 6218984    0    0     0     0 11790 2655  9 31 60  0  0
 1  0      0 6272988   5244 6218984    0    0     0     0 11629 2011  8 31 61  0  0
 0  0      0 6272496   5244 6218984    0    0     0     0 10543 2255  7 29 64  0  0
 1  0      0 6271748   5244 6218984    0    0     0     0 9889 2237  5 25 70  0  0
 1  0      0 6272088   5244 6218984    0    0     0     0 13274 2084  8 31 61  0  0
 0  0      0 6271604   5244 6218984    0    0     0     9 3570 2642  2  6 92  0  0
 0  0      0 6271328   5244 6218984    0    0     0     0 4784 2223  2 11 86  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6270828   5244 6218984    0    0     0     0 3386 2032  2  7 91  0  0
 0  0      0 6270380   5244 6218984    0    0     0     0 1392 1966  1  1 98  0  0
 0  0      0 6269680   5244 6218984    0    0     0     0 1579 2188  2  2 96  0  0
 0  0      0 6269648   5244 6218984    0    0     0     0 3849 2893  3  8 89  0  0
 0  0      0 6269780   5244 6218984    0    0     0     0 2356 2173  2  4 95  0  0
 0  0      0 6270380   5244 6218988    0    0     0     0 9266 2560  5 25 70  0  0
 1  0      0 6269616   5244 6218988    0    0     0    37 11376 2294  5 26 69  0  0
 0  0      0 6269288   5244 6218988    0    0     0     0 9956 2431  5 21 75  0  0
 3  0      0 6270116   5244 6218988    0    0     0     0 11177 2972  8 32 60  0  0
 1  0      0 6269348   5244 6218988    0    0     0     0 10774 2467  6 27 67  0  0
 1  0      0 6268836   5244 6218988    0    0     0     0 9871 2781  6 23 71  0  0
 1  0      0 6269388   5244 6218988    0    0     0     0 9958 2265  7 26 68  0  0
 8  0      0 6268752   5244 6218988    0    0     0     0 9352 2509  5 23 72  0  0
 2  0      0 6268296   5244 6218988    0    0     0     0 2558 1708  1  5 94  0  0
 1  0      0 6268964   5244 6218988    0    0     0     0 9099 2042  5 23 72  0  0
 0  0      0 6268932   5244 6218988    0    0     0     0 15151 2135  6 33 61  0  0
 0  0      0 6269128   5244 6218988    0    0     0     0 1649 2251  1  1 98  0  0
 0  0      0 6269072   5244 6218988    0    0     0     0 1474 2166  1  2 97  0  0
 0  0      0 6269044   5244 6218988    0    0     0     0 1966 2884  3  2 95  0  0
 0  0      0 6269040   5244 6218988    0    0     0     0 1416 2075  1  2 98  0  0
 0  2      0 6268796   5244 6218988    0    0     0    20 1760 2096  2  3 88  7  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2      0 6271072   5244 6218988    0    0     0     0 1608 2281  2  2 49 48  0
 0  2      0 6271068   5244 6218988    0    0     0     0 1495 2162  1  2 49 48  0
 1  0      0 6271700   5244 6218988    0    0     0     0 16470 3219  8 40 52  1  0
