Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request account_add,3672784,240,235,281,292,320,2,821,0.00%,20168.7,2318.2,49.43
总体,3672784,240,235,281,292,320,2,821,0.00%,20168.7,2318.2,49.43
