Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_add,3562334,247,247,286,295,319,2,865,0.000%,19466.62514,2237.29,0.00
TOTAL,3562334,247,247,286,295,319,2,865,0.000%,19466.62514,2237.29,0.00
