Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request account_list,382638,228,54,697,849,1156,3,2444,0.00%,2122.6,669654.0,293.24
总体,382638,228,54,697,849,1156,3,2444,0.00%,2122.6,669654.0,293.24
