Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_list,402712,1417,1073,3410,3611,3895,3,7784,0.000%,1339.91236,422721.41,0.00
TOTAL,402712,1417,1073,3410,3611,3895,3,7784,0.000%,1339.91236,422721.41,0.00
