Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_list,69872,18114,21363,24722,25736,27471,17,32834,0.000%,215.14302,67663.95,0.00
TOTAL,69872,18114,21363,24722,25736,27471,17,32834,0.000%,215.14302,67663.95,0.00
