Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_list,290072,2935,1632,7881,8775,10027,4,20479,0.000%,1389.03414,438218.57,0.00
TOTAL,290072,2935,1632,7881,8775,10027,4,20479,0.000%,1389.03414,438218.57,0.00
