Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_list,249929,2561,1798,6405,7474,9679,4,18830,0.000%,1379.33718,435159.33,0.00
TOTAL,249929,2561,1798,6405,7474,9679,4,18830,0.000%,1379.33718,435159.33,0.00
