Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_list,434952,2026,2079,2117,2132,2174,149,2299,0.000%,2384.20005,782245.79,0.00
TOTAL,434952,2026,2079,2117,2132,2174,149,2299,0.000%,2384.20005,782245.79,0.00
