Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_list,731172,2003,2063,2114,2132,2213,11,2588,0.000%,2398.29961,786871.80,0.00
TOTAL,731172,2003,2063,2114,2132,2213,11,2588,0.000%,2398.29961,786871.80,0.00
