Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request account_list,476447,1894,2001,2093,2124,2221,4,2967,0.00%,2475.8,807447.3,399.98
总体,476447,1894,2001,2093,2124,2221,4,2967,0.00%,2475.8,807447.3,399.98
