Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_add,475339,124,126,178,200,244,1,879,0.000%,3396.20040,1200.61,0.00
TOTAL,475339,124,126,178,200,244,1,879,0.000%,3396.20040,1200.61,0.00
