procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 6062948   5244 6488116    0    0     0     0 19653 1778 46 47  7  0  0
 6  0      0 6059416   5244 6488116    0    0     0     0 16573 1954 46 47  8  0  0
 9  0      0 6059548   5244 6488116    0    0     0     0 17500 1319 49 47  3  0  0
 8  0      0 6087908   5244 6488116    0    0     0     0 12035 2265 34 33 34  0  0
 4  0      0 6084136   5244 6488116    0    0     0     0 15997 1874 44 43 13  0  0
 7  0      0 6083800   5244 6488116    0    0     0     9 16502 3308 44 44 12  0  0
 3  0      0 6111668   5244 6488116    0    0     0    37 15448 1949 43 44 13  0  0
 5  0      0 6106948   5244 6488116    0    0     0     0 17108 2387 46 46  8  0  0
 0  0      0 6106748   5244 6488116    0    0     0     0 9983 2712 25 25 50  0  0
 5  0      0 6105964   5244 6488116    0    0     0     0 14937 2531 34 36 31  0  0
 5  0      0 6130868   5244 6488116    0    0     0     0 16151 3410 32 34 34  0  0
12  0      0 6130312   5244 6488116    0    0     0     0 23581 1535 46 50  4  0  0
 6  0      0 6128360   5244 6488116    0    0     0     0 16731 1351 45 44 11  0  0
 5  0      0 6152964   5244 6488116    0    0     0     0 15128 1616 43 41 16  0  0
 5  0      0 6149408   5244 6488116    0    0     0     0 15718 1874 46 44 10  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 6170828   5244 6488116    0    0     0     0 16070 1528 46 44 10  0  0
 6  0      0 6170748   5244 6488116    0    0     0     0 16425 1902 47 48  6  0  0
 0  0      0 6167200   5244 6488116    0    0     0     0 15595 1643 44 42 15  0  0
11  0      0 6182828   5244 6488116    0    0     0     0 12595 2071 37 35 29  0  0
 6  0      0 6164564   5244 6488116    0    0     0     0 17115 1117 47 48  6  0  0
 6  0      0 6131916   5244 6488120    0    0     0     8 15170 3062 41 42 17  0  0
 7  0      0 6130148   5244 6488120    0    0     0     0 16952 1478 48 50  2  0  0
 2  0      0 6100984   5244 6488120    0    0     0     0 16248 2146 47 46  8  0  0
 1  0      0 6065448   5244 6488120    0    0     0     0 12650 1893 36 36 29  0  0
 6  0      0 6096936   5244 6488120    0    0     0     0 16814 1696 46 47  8  0  0
 5  0      0 6091892   5244 6488120    0    0     0     8 15185 2826 44 42 14  0  0
 3  0      0 6119092   5244 6488120    0    0     0     0 26937 2794 44 44 12  0  0
 5  0      0 6115404   5244 6488120    0    0     0     0 13880 1505 39 39 23  0  0
 1  0      0 6116352   5244 6488120    0    0     0     0 17734 1542 49 48  2  0  0
 6  0      0 6142608   5244 6488120    0    0     0     0 16702 1665 47 46  7  0  0
 5  0      0 6139504   5244 6488120    0    0     0     0 15801 2719 44 42 14  0  0
11  0      0 6161448   5244 6488120    0    0     0     0 15647 1467 47 45  8  0  0
 7  0      0 6158932   5244 6488120    0    0     0     0 12135 2175 31 31 37  0  0
 7  0      0 6157728   5244 6488120    0    0     0     0 17588 2210 46 46  8  0  0
 7  0      0 6179144   5244 6488120    0    0     0     0 16551 1748 46 44 10  0  0
 8  0      0 6176132   5244 6488120    0    0     0    60 16024 2075 45 43 13  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 6170484   5244 6488120    0    0     0     0 16078 2506 45 43 12  0  0
 7  0      0 6146544   5244 6488120    0    0     0     0 11890 2575 31 31 38  0  0
 0  0      0 6145448   5244 6488120    0    0     0     0 16476 2081 37 39 24  0  0
 4  0      0 6142544   5244 6488120    0    0     0     0 17816 3391 40 39 21  0  0
 9  0      0 6138564   5244 6488120    0    0     0     0 17198 1050 46 46  8  0  0
 1  0      0 6137012   5244 6488120    0    0     0     0 15062 1586 48 46  7  0  0
 6  0      0 6160660   5244 6488120    0    0     0    76 13329 1744 40 38 22  0  0
 6  0      0 6156844   5244 6488120    0    0     0     0 16788 1595 46 45 10  0  0
 1  0      0 6173624   5244 6488120    0    0     0     0 15943 1909 46 44 10  0  0
 9  0      0 6153956   5244 6488120    0    0     0    12 16087 1024 48 44  8  0  0
 6  0      0 6121388   5244 6488120    0    0     0     0 16071 1609 45 44 10  0  0
 5  0      0 6120676   5244 6488120    0    0     0     0 14750 2484 38 38 24  0  0
 7  0      0 6088676   5244 6488120    0    0     0     0 16744 2684 45 45 10  0  0
 4  0      0 6086892   5244 6488120    0    0     0     0 16818 1720 48 44  8  0  0
 7  0      0 6086464   5244 6488120    0    0     0    12 15959 2301 44 42 14  0  0
 7  0      0 6081564   5244 6488120    0    0     0     0 17076 1487 48 45  6  0  0
13  0      0 6081148   5244 6488120    0    0     0     0 12886 1617 35 35 30  0  0
