Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request account_list,356241,2510,3020,3116,3161,3432,4,10023,0.00%,1920.8,605986.8,1126.95
总体,356241,2510,3020,3116,3161,3432,4,10023,0.00%,1920.8,605986.8,1126.95
