Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_add,271408,218,85,323,587,3077,3,12950,0.000%,1939.18262,321.16,0.00
TOTAL,271408,218,85,323,587,3077,3,12950,0.000%,1939.18262,321.16,0.00
