Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_add,263615,228,139,356,526,1933,4,8513,0.000%,1883.48897,379.57,0.00
TOTAL,263615,228,139,356,526,1933,4,8513,0.000%,1883.48897,379.57,0.00
