Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_add,3084624,283,333,377,389,421,2,1394,0.000%,17100.22452,3467.46,0.00
TOTAL,3084624,283,333,377,389,421,2,1394,0.000%,17100.22452,3467.46,0.00
