Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
JDBC Request,5219840,4,4,6,7,10,0,1265,0.00%,43492.9,467.2,5.75
总体,5219840,4,4,6,7,10,0,1265,0.00%,43492.9,467.2,5.75
