Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request asset_query,2641279,45,17,124,160,261,0,1426,0.000%,18878.81950,2507.34,0.00
TOTAL,2641279,45,17,124,160,261,0,1426,0.000%,18878.81950,2507.34,0.00
