Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request asset_query,17081121,51,2,192,268,430,0,913,0.000%,94189.22078,12509.51,0.00
TOTAL,17081121,51,2,192,268,430,0,913,0.000%,94189.22078,12509.51,0.00
