Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request asset_query,17160606,51,2,194,267,428,0,916,0.000%,94405.23501,12538.20,0.00
TOTAL,17160606,51,2,194,267,428,0,916,0.000%,94405.23501,12538.20,0.00
