procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
57  1      0 6484340   5244 5963720    0    0     0     0 33633 22287 43 51  5  1  0
27  0      0 6526076   5244 5963720    0    0     0     0 30881 20383 43 47 10  0  0
45  0      0 6527496   5244 5963720    0    0     0     4 33335 22871 44 48  6  1  0
57  0      0 6528872   5244 5963720    0    0     0     0 32975 21606 45 51  4  0  0
32  0      0 6531328   5244 5963720    0    0     0     2 32374 21385 47 49  4  0  0
21  0      0 6532684   5244 5963720    0    0     0     0 27592 18609 44 48  8  0  0
25  0      0 6533568   5244 5963720    0    0     0     0 31569 21177 43 49  8  0  0
59  0      0 6578460   5244 5963720    0    0     0     0 30124 20695 43 44 13  0  0
167  0      0 6556008   5244 5963720    0    0     0     0 34438 23692 45 48  7  0  0
40  0      0 6531168   5244 5963720    0    0     0     0 33632 22604 48 47  5  0  0
75  0      0 6503696   5244 5963720    0    0     0     0 34807 22520 47 48  5  0  0
10  0      0 6489464   5244 5963720    0    0     0     0 35756 23741 48 46  6  0  0
15  0      0 6448612   5244 5963720    0    0     0     0 32086 21711 45 48  7  0  0
 1  0      0 6439500   5244 5963720    0    0     0     0 33050 21569 49 48  4  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
21  0      0 6485924   5244 5963720    0    0     0     0 33267 21699 45 45 10  0  0
35  0      0 6488740   5244 5963720    0    0     0     0 35405 23834 46 47  7  0  0
59  0      0 6490736   5244 5963720    0    0     0     0 33931 24130 47 47  6  0  0
17  0      0 6495116   5244 5963756    0    0     0     0 36716 24680 48 49  3  0  0
93  0      0 6497956   5244 5963756    0    0     0     0 35135 23185 48 48  4  0  0
97  0      0 6497696   5244 5963756    0    0     0     0 34982 22683 48 48  3  0  0
54  0      0 6503308   5244 5963756    0    0     0     0 29367 20283 45 42 13  0  0
26  0      0 6485820   5244 5963756    0    0     0     0 30195 21358 46 48  6  0  0
57  0      0 6459284   5244 5963756    0    0     0     0 35178 24300 47 48  5  0  0
40  0      0 6459724   5244 5963756    0    0     0     0 35611 25265 46 47  7  0  0
43  0      0 6458864   5244 5963756    0    0     0     0 32538 21512 46 49  5  0  0
41  0      0 6458880   5244 5963756    0    0     0     0 33145 22024 44 51  5  0  0
51  0      0 6461668   5244 5963756    0    0     0     0 34339 22217 45 51  5  0  0
 1  0      0 6461560   5244 5963756    0    0     0    12 34470 23872 45 46  8  0  0
19  0      0 6513760   5244 5963756    0    0     0     0 33735 22634 46 47  7  0  0
39  0      0 6515128   5244 5963756    0    0     0     0 34138 22660 46 48  6  0  0
15  0      0 6516112   5244 5963756    0    0     0     0 29677 20778 49 43  8  0  0
 6  0      0 6515972   5244 5963756    0    0     0     0 31111 20849 45 49  6  0  0
24  0      0 6518748   5244 5963756    0    0     0     4 34664 22818 47 48  5  0  0
15  0      0 6517372   5244 5963756    0    0     0     0 36577 25057 46 49  5  0  0
18  0      0 6523572   5244 5963756    0    0     0     3 34944 24205 48 46  6  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
63  0      0 6573080   5244 5963756    0    0     0     8 30772 20477 44 45 12  0  0
48  0      0 6579224   5244 5963756    0    0     0     0 30129 20529 45 47  8  0  0
105  0      0 6561304   5244 5963756    0    0     0     0 29758 21417 46 46  8  0  0
18  0      0 6512804   5244 5963756    0    0     0     0 33922 24214 49 43  7  0  0
40  0      0 6473516   5244 5963756    0    0     0     0 30671 20498 45 42 13  0  0
200  0      0 6442520   5244 5963756    0    0     0     0 34551 23559 48 47  5  0  0
48  0      0 6437248   5244 5963756    0    0     0     0 29152 19437 48 51  1  0  0
101  0      0 6404432   5244 5963756    0    0     0     0 30364 21024 46 47  7  0  0
53  0      0 6394936   5244 5963756    0    0     0     0 27489 18390 46 51  3  0  0
