Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request account_add,1608518,560,493,555,653,1068,0,46964,0.00%,8662.9,1753.5,1989.12
总体,1608518,560,493,555,653,1068,0,46964,0.00%,8662.9,1753.5,1989.12
