Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request account_query,3600439,410,407,837,1232,1672,1,6948,0.00%,11944.4,5631.2,424.49
总体,3600439,410,407,837,1232,1672,1,6948,0.00%,11944.4,5631.2,424.49
