Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request account_query,7983818,110,109,179,259,358,0,971,0.00%,43464.3,17275.3,67.11
总体,7983818,110,109,179,259,358,0,971,0.00%,43464.3,17275.3,67.11
