Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request asset_query,2263916,52,53,75,86,119,0,3111,0.000%,16174.75673,3348.04,0.00
TOTAL,2263916,52,53,75,86,119,0,3111,0.000%,16174.75673,3348.04,0.00
