Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request asset_query,605996,7,2,11,20,56,0,3050,0.000%,4329.71807,896.38,0.00
TOTAL,605996,7,2,11,20,56,0,3050,0.000%,4329.71807,896.38,0.00
