Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request asset_query,15672996,55,6,198,267,434,0,7484,0.000%,86107.31965,17826.90,0.00
TOTAL,15672996,55,6,198,267,434,0,7484,0.000%,86107.31965,17826.90,0.00
