Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request asset_query,15935702,55,6,186,260,434,0,17799,0.00%,87420.0,18098.7,131.76
总体,15935702,55,6,186,260,434,0,17799,0.00%,87420.0,18098.7,131.76
