Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_list,303831,2911,3005,3071,3085,3117,176,3258,0.000%,1654.70874,542902.83,0.00
TOTAL,303831,2911,3005,3071,3085,3117,176,3258,0.000%,1654.70874,542902.83,0.00
