Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_list,307105,2883,2992,3064,3077,3107,3,3232,0.000%,1671.47437,548403.56,0.00
TOTAL,307105,2883,2992,3064,3077,3107,3,3232,0.000%,1671.47437,548403.56,0.00
