Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request account_list,315859,2851,2947,3048,3084,3164,5,3912,0.00%,1686.2,512082.3,461.94
总体,315859,2851,2947,3048,3084,3164,5,3912,0.00%,1686.2,512082.3,461.94
