Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_list,341843,4279,4499,4616,4649,4702,3,4833,0.000%,1121.25625,340524.65,0.00
TOTAL,341843,4279,4499,4616,4649,4702,3,4833,0.000%,1121.25625,340524.65,0.00
