Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_list,166829,5342,5674,5860,5941,6011,412,6172,0.000%,895.74541,272037.18,0.00
TOTAL,166829,5342,5674,5860,5941,6011,412,6172,0.000%,895.74541,272037.18,0.00
