Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request asset_query,932545,128,134,184,205,259,0,506,0.000%,6662.55858,793.78,0.00
TOTAL,932545,128,134,184,205,259,0,506,0.000%,6662.55858,793.78,0.00
