procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 6684092   5244 5963504    0    0     0     0 9269 1775 14 21 64  0  0
 1  0      0 6688612   5244 5963504    0    0     0     0 8347 2169 14 21 65  0  0
 2  0      0 6689304   5244 5963504    0    0     0     0 8524 1865 15 22 63  0  0
 1  0      0 6686820   5244 5963504    0    0     0     0 9286 2084 15 22 63  0  0
 1  0      0 6694372   5244 5963504    0    0     0    12 9431 2650 16 21 63  0  0
 2  0      0 6690596   5244 5963504    0    0     0     0 10428 2355 16 21 63  0  0
 1  0      0 6700028   5244 5963504    0    0     0     0 10836 1910 14 21 65  0  0
 4  0      0 6696704   5244 5963504    0    0     0     0 9887 1452 14 24 62  0  0
 1  0      0 6705188   5244 5963504    0    0     0     0 9656 1661 14 21 65  0  0
 1  1      0 6698632   5244 5963504    0    0     0     4 9810 2877 18 22 48 12  0
 1  1      0 6696900   5244 5963504    0    0     0     0 10932 2056 15 23 42 20  0
 2  0      0 6689576   5244 5963504    0    0     0     0 9523 2497 15 21 55  9  0
 1  0      0 6699804   5244 5963504    0    0     0     0 10729 2053 14 21 64  0  0
 1  0      0 6701416   5244 5963504    0    0     0     0 9892 2374 14 21 65  0  0
 1  0      0 6697912   5244 5963504    0    0     0     0 9502 2540 16 25 59  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 6684772   5244 5963504    0    0     0     0 9003 1913 15 19 66  0  0
 1  0      0 6680684   5244 5963504    0    0     0     0 10615 1966 15 21 64  0  0
 1  0      0 6667388   5244 5963504    0    0     0     0 9738 2303 15 22 63  0  0
 1  0      0 6664308   5244 5963504    0    0     0     0 8463 2302 14 26 60  0  0
 1  0      0 6656488   5244 5963508    0    0     0     0 11175 2720 15 22 64  0  0
 2  0      0 6662116   5244 5963512    0    0     0     0 10206 1874 15 20 65  0  0
 1  0      0 6662752   5244 5963516    0    0     0     0 10019 2237 15 22 63  0  0
 2  0      0 6660316   5244 5963516    0    0     0     3 10726 1915 15 23 62  0  0
 2  0      0 6669904   5244 5963528    0    0     0     0 9604 2157 16 25 59  0  0
 1  0      0 6669548   5244 5963528    0    0     0     0 11121 2657 15 22 63  0  0
 3  0      0 6667412   5244 5963528    0    0     0     0 10281 2233 14 24 61  0  0
 1  0      0 6678052   5244 5963528    0    0     0     0 9618 2049 15 21 65  0  0
 1  0      0 6678732   5244 5963528    0    0     0     0 10275 2153 15 24 61  0  0
 7  0      0 6677312   5244 5963528    0    0     0     0 10313 1076 15 21 65  0  0
 2  0      0 6685504   5244 5963528    0    0     0     8 9550 2514 15 27 58  0  0
 2  0      0 6683952   5244 5963528    0    0     0     0 9899 1954 15 26 59  0  0
 2  0      0 6694252   5244 5963528    0    0     0     0 9835 2160 15 25 61  0  0
 1  0      0 6693596   5244 5963528    0    0     0     0 9357 1953 14 25 61  0  0
 5  0      0 6699808   5244 5963528    0    0     0     0 10183 2328 15 22 63  0  0
 1  0      0 6696896   5244 5963528    0    0     0    12 10700 2604 15 22 62  0  0
 1  0      0 6700920   5244 5963528    0    0     0     0 8934 2167 15 24 61  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 6693460   5244 5963528    0    0     0     0 9789 1971 15 25 60  0  0
 1  0      0 6693836   5244 5963528    0    0     0     0 9909 2098 15 24 62  0  0
 2  0      0 6688260   5244 5963528    0    0     0     0 9672 1894 15 25 59  0  0
 1  0      0 6698584   5244 5963528    0    0     0     0 9739 2935 18 25 58  0  0
 1  0      0 6694144   5244 5963532    0    0     0     4 9520 2070 15 23 61  0  0
 1  0      0 6684640   5244 5963532    0    0     0     0 10495 2319 15 20 65  0  0
 1  0      0 6680144   5244 5963532    0    0     0     0 9889 2018 14 20 66  0  0
 1  0      0 6683140   5244 5963532    0    0     0     0 9032 1937 15 20 65  0  0
 2  0      0 6683656   5244 5963532    0    0     0     0 8318 2112 15 23 63  0  0
 1  0      0 6688256   5244 5963528    0    0     0     0 10877 2144 15 21 64  0  0
 1  0      0 6687716   5244 5963528    0    0     0     0 9197 1930 14 21 66  0  0
 4  0      0 6693600   5244 5963528    0    0     0     0 9906 2374 15 25 60  0  0
 2  0      0 6699092   5244 5963528    0    0     0     0 9489 1786 15 19 66  0  0
 1  0      0 6699128   5244 5963528    0    0     0     0 9009 2341 15 21 64  0  0
 1  0      0 6702380   5244 5963528    0    0     0     0 9395 2064 16 24 61  0  0
 8  0      0 6694468   5244 5963528    0    0     0     0 9353 1574 14 22 64  0  0
 6  0      0 6694556   5244 5963528    0    0     0     2 9846 1536 15 23 63  0  0
 1  0      0 6683096   5244 5963528    0    0     0     0 10762 2370 16 25 60  0  0
 1  0      0 6676192   5244 5963528    0    0     0     0 9349 2453 16 25 59  0  0
 1  0      0 6672596   5244 5963528    0    0     0     0 9500 2263 16 21 63  0  0
 1  0      0 6669948   5244 5963528    0    0     0     0 11305 2264 14 21 65  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 6678516   5244 5963528    0    0     0     0 9672 2165 15 19 66  0  0
 2  0      0 6677704   5244 5963528    0    0     0     0 9379 1930 15 20 66  0  0
 1  0      0 6677992   5244 5963528    0    0     0     0 10030 2956 15 20 66  0  0
 1  0      0 6687284   5244 5963512    0    0     0     4 11241 2159 15 22 64  0  0
 2  0      0 6684824   5244 5963512    0    0     0     0 9526 2473 14 25 62  0  0
 2  0      0 6695476   5244 5963512    0    0     0     0 9795 2200 15 19 67  0  0
 2  0      0 6694432   5244 5963508    0    0     0     0 10426 2680 15 24 62  0  0
 6  0      0 6705024   5244 5963508    0    0     0     0 10238 3205 15 21 63  0  0
 1  0      0 6706672   5244 5963512    0    0     0     4 11824 2494 14 21 65  0  0
 1  0      0 6706184   5244 5963512    0    0     0     0 10554 2448 14 23 63  0  0
 1  0      0 6711548   5244 5963512    0    0     0     0 8406 2178 14 23 63  0  0
 4  0      0 6713324   5244 5963512    0    0     0     0 9440 2024 15 20 65  0  0
 1  0      0 6722024   5244 5963496    0    0     0     0 10204 3022 16 23 61  0  0
 1  0      0 6723256   5244 5963432    0    0     0     4 11038 2145 15 18 67  0  0
 1  0      0 6723352   5244 5963392    0    0     0     0 9600 2300 15 22 63  0  0
 1  0      0 6734168   5244 5963320    0    0     0     0 10957 2415 15 18 67  0  0
 5  0      0 6735024   5244 5963208    0    0     0     0 12320 2649 15 18 67  0  0
 2  0      0 6737576   5244 5963124    0    0     0     0 10842 2833 15 19 66  0  0
 0  0      0 6744444   5244 5962984    0    0     0     0 8806 1763 11 15 74  0  0
 0  0      0 6743968   5244 5962984    0    0     0     0 1463 2252  1  1 98  0  0
 2  0      0 6743632   5244 5962984    0    0     0     0 1554 2303  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 6742156   5244 5962984    0    0     0     0 1646 2440  1  1 98  0  0
 0  0      0 6742536   5244 5962984    0    0     0     0 1931 2756  2  2 97  0  0
 0  0      0 6742932   5244 5962984    0    0     0     0 1425 2048  1  1 98  0  0
 0  0      0 6743040   5244 5962984    0    0     0     0 1577 2258  1  1 97  0  0
 1  0      0 6743288   5244 5962984    0    0     0     0 1362 1977  1  1 98  0  0
 2  0      0 6737980   5244 5962984    0    0     0    14 1950 2964  1  1 98  0  0
 0  0      0 6743316   5244 5962984    0    0     0     0 1872 2585  1  2 97  0  0
 0  0      0 6743984   5244 5962984    0    0     0     0 1573 2326  1  1 98  0  0
 0  0      0 6743928   5244 5962984    0    0     0     0 1394 2011  1  1 98  0  0
 0  0      0 6743668   5244 5962984    0    0     0     0 1601 2275  1  1 98  0  0
 4  0      0 6738104   5244 5962984    0    0     0     0 1780 2608  2  1 97  0  0
 0  0      0 6743044   5244 5962984    0    0     0     0 1973 2821  1  2 97  0  0
