Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request asset_query,14167887,61,1,202,292,435,0,1758,0.000%,78260.05325,15208.74,0.00
TOTAL,14167887,61,1,202,292,435,0,1758,0.000%,78260.05325,15208.74,0.00
