Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request asset_query,13861832,63,1,209,297,435,0,3302,0.00%,75932.8,14756.5,115.74
总体,13861832,63,1,209,297,435,0,3302,0.00%,75932.8,14756.5,115.74
