Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request asset_query,14272564,61,1,201,287,435,0,1729,0.000%,78061.68336,15170.19,0.00
TOTAL,14272564,61,1,201,287,435,0,1729,0.000%,78061.68336,15170.19,0.00
