Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_list,466948,3132,220,1644,3797,129243,6,181619,0.000%,1534.50389,511040.75,0.00
TOTAL,466948,3132,220,1644,3797,129243,6,181619,0.000%,1534.50389,511040.75,0.00
