Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_list,298177,2971,209,1636,4364,106445,6,158252,0.000%,1621.76112,540100.30,0.00
TOTAL,298177,2971,209,1636,4364,106445,6,158252,0.000%,1621.76112,540100.30,0.00
