Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request account_query,7413937,119,21,737,787,853,0,3882,0.00%,40177.4,18127.4,257.13
总体,7413937,119,21,737,787,853,0,3882,0.00%,40177.4,18127.4,257.13
