Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_add,705603,81,31,148,276,981,1,6375,0.000%,5041.42583,2176.08,0.00
TOTAL,705603,81,31,148,276,981,1,6375,0.000%,5041.42583,2176.08,0.00
