Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
JDBC Request,13132979,1,1,3,5,10,0,828,0.00%,109417.8,14211.5,3.52
总体,13132979,1,1,3,5,10,0,828,0.00%,109417.8,14211.5,3.52
